date,title,artist,view_type,Global_position,Global_streams,US_position,US_streams,PH_position,PH_streams,AU_position,AU_streams,CA_position,CA_streams,GB_position,GB_streams,MY_position,MY_streams,TW_position,TW_streams,DE_position,DE_streams,SG_position,SG_streams,KR_position,KR_streams,NZ_position,NZ_streams,HK_position,HK_streams,SE_position,SE_streams,NO_position,NO_streams,HU_position,HU_streams,AE_position,AE_streams,DK_position,DK_streams,IS_position,IS_streams,SA_position,SA_streams,IE_position,IE_streams,CH_position,CH_streams,EE_position,EE_streams,song_id,MX_position,MX_streams,ID_position,ID_streams,BR_position,BR_streams,FR_position,FR_streams,PL_position,PL_streams,ES_position,ES_streams,TH_position,TH_streams,NL_position,NL_streams,CL_position,CL_streams,IT_position,IT_streams,JP_position,JP_streams,PE_position,PE_streams,CO_position,CO_streams,AR_position,AR_streams,ZA_position,ZA_streams,BE_position,BE_streams,CZ_position,CZ_streams,AT_position,AT_streams,FI_position,FI_streams,PT_position,PT_streams,IL_position,IL_streams,RO_position,RO_streams,GR_position,GR_streams,NG_position,NG_streams,SK_position,SK_streams,CR_position,CR_streams,EC_position,EC_streams,PK_position,PK_streams,VE_position,VE_streams,GT_position,GT_streams,BO_position,BO_streams,UA_position,UA_streams,PA_position,PA_streams,VN_position,VN_streams,LT_position,LT_streams,KZ_position,KZ_streams,DO_position,DO_streams,BG_position,BG_streams,SV_position,SV_streams,LV_position,LV_streams,LU_position,LU_streams,UY_position,UY_streams,HN_position,HN_streams,PY_position,PY_streams,NI_position,NI_streams
2025-07-18,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)",TWICE,daily,69,1909899,57,541688,79,184252,59,77729,86,78658,,,30,41643,24,38109,,,23,27914,28,20225,45,14455,61,9443,,,,,167.0,6571.0,98,3502,,,,,,,,,,,,,19GxfaRs5KdurzPKLVX3Cq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-19,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)",TWICE,daily,70,1814506,59,514740,80,173806,52,76840,91,73315,185.0,77409.0,28,43519,23,35341,,,20,27177,28,20206,37,14826,58,8591,,,,,185.0,6009.0,114,3062,,,,,,,,,,,,,19GxfaRs5KdurzPKLVX3Cq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-20,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)",TWICE,daily,65,1693740,52,478910,86,172560,53,76476,83,68405,173.0,74330.0,33,40620,21,32911,195.0,64963.0,22,26836,30,20349,41,14009,63,5992,,,,,173.0,5598.0,133,2660,,,,,,,,,,,,,19GxfaRs5KdurzPKLVX3Cq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-21,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)",TWICE,daily,71,1839223,62,529932,93,161267,65,77371,85,74886,197.0,79001.0,34,38376,20,38248,187.0,72473.0,21,28038,34,20508,56,13331,54,10141,,,,,169.0,6385.0,114,3286,,,,,,,,,,,,,19GxfaRs5KdurzPKLVX3Cq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-22,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)",TWICE,daily,76,1779799,63,524405,95,150811,68,73222,85,73723,,,35,35839,21,36152,188.0,71335.0,23,27265,42,19409,60,13066,61,9344,,,,,175.0,6002.0,119,3171,,,,,,,,,,,,,19GxfaRs5KdurzPKLVX3Cq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-23,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)",TWICE,daily,78,1798749,63,522100,95,158365,71,73468,88,73218,184.0,80224.0,32,35923,20,36223,175.0,73270.0,23,26874,38,18941,63,12852,63,9166,,,,,169.0,6051.0,106,3236,,,,,,,,,,,,,19GxfaRs5KdurzPKLVX3Cq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-24,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)",TWICE,daily,73,1814074,62,528001,93,159282,64,74928,81,74531,176.0,83763.0,33,36789,20,36019,182.0,73825.0,21,27168,37,19505,63,13145,58,9400,,,,,164.0,6091.0,106,3277,,,,,,,,,,,,,19GxfaRs5KdurzPKLVX3Cq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-25,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)",TWICE,daily,74,1834125,68,529996,85,161559,62,73533,85,75067,184.0,86418.0,29,39528,19,37082,,,22,26745,32,20007,56,14397,56,9150,,,,,,,130,3054,,,,,,,,,,,,,19GxfaRs5KdurzPKLVX3Cq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-26,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)",TWICE,daily,70,1780088,64,510121,89,164563,40,84738,86,72882,174.0,79929.0,28,40563,20,33780,,,16,27257,37,18500,42,14941,55,8585,,,,,174.0,5889.0,122,2959,,,,,,,,,,,,,19GxfaRs5KdurzPKLVX3Cq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-27,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)",TWICE,daily,63,1668206,60,474857,99,162524,52,84427,85,69180,131.0,75131.0,33,37639,21,31896,,,18,26120,37,17774,45,13930,57,7680,,,169.0,10093.0,161.0,5421.0,106,2753,,,,,,,,,,,,,19GxfaRs5KdurzPKLVX3Cq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-28,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)",TWICE,daily,63,1764503,55,512965,86,162879,74,75685,78,73552,146.0,84106.0,38,34053,21,32790,,,23,26781,41,17379,56,12542,55,8730,,,182.0,10756.0,161.0,6276.0,103,3228,,,,,,,,,,,,,19GxfaRs5KdurzPKLVX3Cq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-29,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)",TWICE,daily,58,1839552,52,532498,80,175343,61,77751,71,76374,135.0,84783.0,32,36263,20,34244,179.0,72942.0,21,27875,39,17421,41,13521,50,9169,184.0,18377.0,161.0,10955.0,164.0,6167.0,100,3343,,,188.0,1023.0,,,,,,,,,19GxfaRs5KdurzPKLVX3Cq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-30,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)",TWICE,daily,61,1841991,52,534884,84,175101,59,77774,73,76809,138.0,86427.0,36,35256,19,34203,176.0,73434.0,22,27891,43,16661,41,13622,48,9391,,,159.0,11185.0,173.0,6295.0,90,3480,,,,,,,,,,,,,19GxfaRs5KdurzPKLVX3Cq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-31,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)",TWICE,daily,58,1803509,50,528777,87,164021,62,76316,74,75293,138.0,85562.0,32,35415,21,33980,180.0,74573.0,22,26650,45,15905,41,13825,48,9569,,,161.0,11200.0,167.0,6293.0,99,3283,,,,,,,,,,,,,19GxfaRs5KdurzPKLVX3Cq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-01,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)",TWICE,daily,69,1837652,56,538967,89,160337,56,77493,77,77696,136.0,90867.0,32,36610,19,35633,,,21,26672,44,15977,38,15300,55,9269,,,178.0,11662.0,184.0,6253.0,104,3277,,,,,,,,,,,,,19GxfaRs5KdurzPKLVX3Cq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-02,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)",TWICE,daily,64,1842272,49,535835,88,171290,39,92367,73,74966,127.0,88577.0,32,40711,21,32922,,,17,27634,43,15451,34,16185,49,8397,,,160.0,11347.0,175.0,6056.0,114,3034,,,,,,,,,,,,,19GxfaRs5KdurzPKLVX3Cq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-03,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)",TWICE,daily,51,1824698,44,523836,77,186994,35,95639,63,73342,110.0,85007.0,33,38684,21,33028,161.0,67780.0,18,27535,46,14891,36,14962,47,8569,136.0,19380.0,105.0,12094.0,128.0,6158.0,105,2920,193.0,8772.0,,,,,,,,,,,19GxfaRs5KdurzPKLVX3Cq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-04,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)",TWICE,daily,59,1884116,42,556417,85,169194,45,86324,60,75987,114.0,92136.0,35,34435,19,35466,164.0,73749.0,20,28147,47,16130,40,13654,55,9531,161.0,19770.0,129.0,12079.0,154.0,6593.0,96,3372,,,161.0,1061.0,,,,,,,,,19GxfaRs5KdurzPKLVX3Cq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-05,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)",TWICE,daily,62,1836516,44,550107,98,158843,48,84692,55,77068,120.0,90085.0,35,33423,22,33952,171.0,71427.0,20,27510,54,15332,41,13379,56,7365,153.0,19664.0,141.0,11620.0,161.0,6407.0,104,3278,,,147.0,1057.0,,,,,,,,,19GxfaRs5KdurzPKLVX3Cq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-06,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)",TWICE,daily,62,1845963,46,551428,98,158953,43,88965,59,76597,118.0,91013.0,33,33112,21,34225,180.0,71062.0,21,27791,55,14723,40,14089,53,9419,152.0,19868.0,130.0,12162.0,173.0,6150.0,91,3435,,,155.0,1046.0,,,,,,,,,19GxfaRs5KdurzPKLVX3Cq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-07,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)",TWICE,daily,61,1869337,45,558745,93,159522,42,89056,57,78901,112.0,93423.0,32,34517,21,33987,182.0,72340.0,20,27469,57,14832,36,14990,59,9444,135.0,20820.0,118.0,12939.0,189.0,6135.0,98,3365,,,149.0,1197.0,,,,,,,,,19GxfaRs5KdurzPKLVX3Cq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-08,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)",TWICE,daily,62,1903916,44,570505,90,158411,41,89685,58,80868,120.0,99877.0,35,35967,23,34745,,,22,27581,58,14915,30,16593,56,9392,183.0,21744.0,132.0,13711.0,,,87,3511,,,180.0,1146.0,,,,,,,,,19GxfaRs5KdurzPKLVX3Cq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
